ValueMeaning	LabelValueMeaning	Referentiel	url	ConceptualDomain	TypeConceptualDomain	FormatConceptualDomain	IdDataElementConcept		ObjectClass	ObjectProperty	DataElementConcept	DefDataElementConcept
					nonEnumerated	String	O11		Analysis	AnalyticPipelineCode	AnalyticPipelineCode	Identifier of the pipeline used into the analysis (unique in the center)
					nonEnumerated	Integer	O12		Experiment on specimen	AlgorithmicCellularity	AlgorithmicCellularity	Calculated percentage of tumor cells in sample
					Enumerated	String	O13		Experiment on specimen	AlgorithmicPloïdy	AlgorithmicPloïdy	Calculated number of sets of chromosomes in a cell of the sample
					nonEnumerated	Integer	O14		Experiment on specimen/CpyNb Quality filter	NumberOfBreakPoints	NumberOfBreakPoints	Calculated number of break points in genomic profile
Gene expression	Gene expression	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Protein expression	Protein expression	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Fusion	Fusion	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Copy number variation	Copy number variation	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Genetic variant	Genetic variant	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Structural alteration	Structural alteration	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Transcription factor	Transcription factor	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Histone marks	Histone marks	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Transcript isoform	Transcript isoform	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Viral insertion site	Viral insertion site	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Experimental	Experimental	OSIRIS		OSIRIS:ValidationType	Enumerated	String	O16		Alteration	ValidationType	ValidationType	Type of validation of the detected alteration
By biologist	By biologist	OSIRIS		OSIRIS:ValidationType	Enumerated	String	O16		Alteration	ValidationType	ValidationType	Type of validation of the detected alteration
In silico	In silico	OSIRIS		OSIRIS:ValidationType	Enumerated	String	O16		Alteration	ValidationType	ValidationType	Type of validation of the detected alteration
		OSIRIS			nonEnumerated	String	O17		Validation	ValidationMethod	ValidationMethod	Validation method depending on the type of validation
Not Validated	Not Validated	OSIRIS		OSIRIS:ValidationStatus	Enumerated	String	O18		Validation	ValidationStatus	ValidationStatus	Validation status of the detected alteration
Validated	Validated	OSIRIS		OSIRIS:ValidationStatus	Enumerated	String	O18		Validation	ValidationStatus	ValidationStatus	Validation status of the detected alteration
LA21254-0	chr1	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21255-7	chr2	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21256-5	chr3	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21257-3	chr4	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21258-1	chr5	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21259-9	chr6	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21260-7	chr7	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21261-5	chr8	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21262-3	chr9	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21263-1	chr10	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21264-9	chr11	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21265-6	chr12	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21266-4	chr13	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21267-2	chr14	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21268-0	chr15	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21269-8	chr16	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21270-6	chr17	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21271-4	chr18	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21272-2	chr19	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21273-0	chr20	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21274-8	chr21	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21275-5	chr22	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21276-3	chrX	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21277-1	chrY	OSIRIS	http://r.details.loinc.org/AnswerList/LL2938-0.html	OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
MT	MT	OSIRIS		OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
viral	viral	OSIRIS		OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
bacterial	bacterial	OSIRIS		OSIRIS:Chromosome	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
		FHIR (HL7)	http://hl7.org/fhir/extension-geneticsgenomicstart.html	FHIR:extension-geneticsGenomicStart	nonEnumerated	Integer	O20		Alteration	GenomicStart	GenomicStart	Nucleotide location for start of genomic finding on the positive (+) genomics strand, 1-based
		FHIR (HL7)	http://hl7.org/fhir/extension-geneticsgenomicstop.html	FHIR:extension-geneticsGenomicStop	nonEnumerated	Integer	O21	Pb 0/1 based	Alteration	GenomicStop	GenomicStop	Exclusive 0-based nucleotide position for end of genomic finding on the positive (+) genomic strand.!!!!!!!!=N======== ucleotide location for end of genomic finding on the positive (+) genomic strand, 1-based
GRCh37	GRCh37	FHIR (HL7)	https://www.hl7.org/fhir/extension-geneticsgenomebuild.html	FHIR:extension-geneticsGenomeBuild	Enumerated	String	O22	pb custom enum vs FHIR	Alteration	GenomeBuild	GenomeBuild	Genome Build used for reference
GRCh38	GRCh38	FHIR (HL7)	https://www.hl7.org/fhir/extension-geneticsgenomebuild.html	FHIR:extension-geneticsGenomeBuild	Enumerated	String	O22		Alteration	GenomeBuild	GenomeBuild	Genome Build used for reference
		OSIRIS	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/database/cytoBand.txt.gz		nonEnumerated	String	O23		Alteration	Cytoband	Cytoband	Cytogenetic location
gene	gene	OSIRIS		OSIRIS:GenomeEntityType	Enumerated	String	O24		Genome entity	GenomeEntityType	GenomeEntityType	Type of the genome entity. For eg: gene, mRNA, ncRNA...
miRNA	miRNA	OSIRIS		OSIRIS:GenomeEntityType	Enumerated	String	O24		Genome entity	GenomeEntityType	GenomeEntityType	Type of the genome entity. For eg: gene, mRNA, ncRNA...
piRNA	piRNA	OSIRIS		OSIRIS:GenomeEntityType	Enumerated	String	O24		Genome entity	GenomeEntityType	GenomeEntityType	Type of the genome entity. For eg: gene, mRNA, ncRNA...
mRNA	mRNA	OSIRIS		OSIRIS:GenomeEntityType	Enumerated	String	O24		Genome entity	GenomeEntityType	GenomeEntityType	Type of the genome entity. For eg: gene, mRNA, ncRNA...
ncRNA	ncRNA	OSIRIS		OSIRIS:GenomeEntityType	Enumerated	String	O24		Genome entity	GenomeEntityType	GenomeEntityType	Type of the genome entity. For eg: gene, mRNA, ncRNA...
ORF	ORF	OSIRIS		OSIRIS:GenomeEntityType	Enumerated	String	O24		Genome entity	GenomeEntityType	GenomeEntityType	Type of the genome entity. For eg: gene, mRNA, ncRNA...
HGNC	HGNC	OSIRIS		OSIRIS:GenomeEntityDatabase	Enumerated	String	O25		Genome entity	GenomeEntityDatabase	GenomeEntityDatabase	Database of the genome entity
miRDB	miRDB	OSIRIS		OSIRIS:GenomeEntityDatabase	Enumerated	String	O25		Genome entity	GenomeEntityDatabase	GenomeEntityDatabase	Database of the genome entity
Entrez	Entrez	OSIRIS		OSIRIS:GenomeEntityDatabase	Enumerated	String	O25		Genome entity	GenomeEntityDatabase	GenomeEntityDatabase	Database of the genome entity
		FHIR	http://hl7.org/fhir/2016May/extension-observation-geneticsgene.html	FHIR:extension-observation-geneticsGene	nonEnumerated	String	O26	FHIR defini les deux: symbol et id dans le meme item	Genome entity	GenomeEntityId	GenomeEntityId	Identifier of the genome entity in the genome entity database
		LOINC	http://www.genenames.org/	LOINC:48018-6	nonEnumerated	String	O27	liste existe mais fait on explicitement la liste? Vianney que vas tu faire pour tes grosses listes de valeurs? label in loinc: Gene studied OK lien HUGO	Genome entity	GeneSymbol	GeneSymbol	Hugo gene symbol
LA26331-1	translocation	LOINC	http://r.details.loinc.org/LOINC/81289-1.html	OSIRIS:FusionType	Enumerated	String	O28	prendre ou laisser OSIRIS?	Fusion	FusionType	FusionType	Type of the fusion event. For eg: translocation, readthrough
readthrough	readthrough	OSIRIS		OSIRIS:FusionType	Enumerated	String	O28		Fusion	FusionType	FusionType	Type of the fusion event. For eg: translocation, readthrough
		OSIRIS			nonEnumerated	Boolean	O29		Fusion	FusionTranscript	FusionTranscript	Have been found from a fusion transcript ?
		OSIRIS			nonEnumerated	String	O30	Reprendre element meme si c'est pour une fusion? OUI	Fusion	FusionTranscriptReference	FusionTranscriptReference	Accession number of observed fusion
		LOINC	http://www.genenames.org/	LOINC:48018-6	nonEnumerated	String	O31		Fusion	FusionGeneSymbol5prime	FusionGeneSymbol5prime	Gene symbol (HUGO) of the gene involved in the fusion on 5 prime end
		FHIR	http://hl7.org/fhir/2016May/extension-observation-geneticsdnaregionname.html	FHIR:extension-observation-geneticsDNARegionName	nonEnumerated	String	O32		Fusion	FusionRegionName5prime	FusionRegionName5prime	Human readable name for the region of interest from the 5 prime fusion partner. For eg : Exon, Intron
		FHIR	http://hl7.org/fhir/2016May/extension-observation-geneticstranscriptreferencesequenceid.html	FHIR:extension-observation-geneticsTranscriptReferenceSequenceId	nonEnumerated	String	O33		Fusion	FusionTranscriptReferenceSequenceId5prime	FusionTranscriptReferenceSequenceId5prime	Reference identifier for cDNA transcript of the 5 prime fusion partner, with version, from NCBI's RefSeq or ENSEMBL.
		OSIRIS			nonEnumerated	String	O34	+/- ?	Fusion	FusionStrand5prime	FusionStrand5prime	Strand of the 5 prime fusion partner
					nonEnumerated	String	O35		Fusion	FusionPoint5prime	FusionPoint5prime	Position of the fusion point on the 5 prime partner
		LOINC	http://www.genenames.org/	LOINC:48018-6	nonEnumerated	String	O36		Fusion	FusionGeneSymbol3prime	FusionGeneSymbol3prime	Gene symbol (HUGO) of the gene involved in the fusion on 3 prime end
		FHIR	http://hl7.org/fhir/2016May/extension-observation-geneticsdnaregionname.html	FHIR:extension-observation-geneticsDNARegionName	nonEnumerated	String	O37		Fusion	FusionRegionName3prime	FusionRegionName3prime	Human readable name for the region of interest from the 3 prime fusion partner. For eg : Exon, Intron
		FHIR	http://hl7.org/fhir/2016May/extension-observation-geneticstranscriptreferencesequenceid.html	FHIR:extension-observation-geneticsTranscriptReferenceSequenceId	nonEnumerated	String	O38		Fusion	FusionTranscriptReferenceSequenceId3prime	FusionTranscriptReferenceSequenceId3prime	Reference identifier for cDNA transcript of the 3 prime fusion partner, with version, from NCBI's RefSeq or ENSEMBL.
		OSIRIS			nonEnumerated	String	O39	+/- ?	Fusion	FusionStrand3prime	FusionStrand3prime	Strand of the 3 prime fusion partner
					nonEnumerated	Integer	O40		Fusion	FusionPoint3prime	FusionPoint3prime	Position of the fusion point on the 3 prime partner
		OSIRIS			nonEnumerated	Boolean	O41		Fusion	FusionInFrame	FusionInFrame	Specify whether the fusion is in frame
ChimerDb	ChimerDb	OSIRIS		OSIRIS:FusionAnnotationReferentiel	Enumerated	String	O42		Fusion Analysis	FusionAnnotationReferentiel	FusionAnnotationReferentiel	Reference database to annotate the fusion
Oncofuse	Oncofuse	OSIRIS		OSIRIS:FusionAnnotationReferentiel	Enumerated	String	O42		Fusion Analysis	FusionAnnotationReferentiel	FusionAnnotationReferentiel	Reference database to annotate the fusion
Mittelman DB	Mittelman DB	OSIRIS		OSIRIS:FusionAnnotationReferentiel	Enumerated	String	O42		Fusion Analysis	FusionAnnotationReferentiel	FusionAnnotationReferentiel	Reference database to annotate the fusion
		OSIRIS			nonEnumerated	String	O43		Fusion Analysis	FusionAnnotationValue	FusionAnnotationValue	Annotation of the fusion
		OSIRIS			nonEnumerated	Integer	O44		Fusion/QualityFilter	FusionNbSpanningPair	FusionNbSpanningPair	Number of reads pairs spanning the fusion
		OSIRIS			nonEnumerated	Integer	O45		Fusion/QualityFilter	FusionNbSpanningReads	FusionNbSpanningReads	Number of reads spanning the fusion
		OSIRIS			nonEnumerated	Float	O47		Segment copy number	SegmentIntensity	SegmentIntensity	Intensity of the measured signal
Amplification	Amplification	OSIRIS			Enumerated	String	O49		Segment copy number	SegmentGenomicStatus	SegmentGenomicStatus	Copy number status
Gain	Gain	OSIRIS			Enumerated	String	O49		Segment copy number	SegmentGenomicStatus	SegmentGenomicStatus	Copy number status
Normal	Normal	OSIRIS			Enumerated	String	O49		Segment copy number	SegmentGenomicStatus	SegmentGenomicStatus	Copy number status
Heretozygous deletion	Heretozygous deletion	OSIRIS			Enumerated	String	O49		Segment copy number	SegmentGenomicStatus	SegmentGenomicStatus	Copy number status
Homozygous deletion	Homozygous deletion	OSIRIS			Enumerated	String	O49		Segment copy number	SegmentGenomicStatus	SegmentGenomicStatus	Copy number status
Copy neutral	Copy neutral	OSIRIS			Enumerated	String	O49		Segment copy number	SegmentGenomicStatus	SegmentGenomicStatus	Copy number status
Isodisomy	Isodisomy	OSIRIS			Enumerated	String	O49		Segment copy number	SegmentGenomicStatus	SegmentGenomicStatus	Copy number status
		OSIRIS			nonEnumerated	Integer	O50		Segment copy number	CopyNumber	CopyNumber	Estimated DNA copy number
		OSIRIS			nonEnumerated	Boolean	O51		Segment LOH	LossOfHeterozygosity	LossOfHeterozygosity	Is the segment located in a region of loss of heterozygosity ? (can be independant from copy number information
		FHIR	https://www.hl7.org/fhir/2016Jan/sequence-definitions.html#Sequence.referenceAllele	FHIR:Sequence.referenceAllele	nonEnumerated	String	O53		Reference variant	ReferenceAllele	ReferenceAllele	Plus strand reference allele at this position. Include the sequence deleted for a deletion, or '-' for an insertion.
		FHIR	https://www.hl7.org/fhir/2016Jan/sequence-definitions.html#Sequence.observedAllele	FHIR:Sequence.observedAllele	nonEnumerated	String	O54		Reference variant	AlternativeAllele	AlternativeAllele	Plus strand observed alternative allele at this position. Include the sequence inserted for a insertion, or '-' for a deletion.
LA6692-3	Deletion	LOINC	http://r.details.loinc.org/LOINC/48019-4.html	LOINC:48019-4	Enumerated	String	O55		Reference variant	DNASequenceVariationType	DNASequenceVariationType	Codified type of the DNA sequence variation
LA6686-5	Duplication	LOINC	http://r.details.loinc.org/LOINC/48019-4.html	LOINC:48019-4	Enumerated	String	O55		Reference variant	DNASequenceVariationType	DNASequenceVariationType	Codified type of the DNA sequence variation
LA6687-3	Insertion	LOINC	http://r.details.loinc.org/LOINC/48019-4.html	LOINC:48019-4	Enumerated	String	O55		Reference variant	DNASequenceVariationType	DNASequenceVariationType	Codified type of the DNA sequence variation
LA6689-9	Inversion	LOINC	http://r.details.loinc.org/LOINC/48019-4.html	LOINC:48019-4	Enumerated	String	O55		Reference variant	DNASequenceVariationType	DNASequenceVariationType	Codified type of the DNA sequence variation
LA6690-7	Substitution	LOINC	http://r.details.loinc.org/LOINC/48019-4.html	LOINC:48019-4	Enumerated	String	O55		Reference variant	DNASequenceVariationType	DNASequenceVariationType	Codified type of the DNA sequence variation
					Enumerated	String	O56		Reference variant	VariationDatabase	VariationDatabase	Name of the variation database
		OSIRIS			nonEnumerated	String	O57		Reference variant	VariationId	VariationId	Identifier for variant in the variation database
		OSIRIS			nonEnumerated	String	O58		Reference variant	PfamDomain	PfamDomain	Pfams domains related to alteration position
		OSIRIS			nonEnumerated	String	O59		Reference variant	PfamId	PfamId	Identifier of Pfams domains related to alteration position
1000 genomes		OSIRIS			Enumerated	String	O60		Reference variant	PopulationFrequencyDatabase	PopulationFrequencyDatabase	Name of the Population Frequency Database
ESP		OSIRIS			Enumerated	String	O60		Reference variant	PopulationFrequencyDatabase	PopulationFrequencyDatabase	Name of the Population Frequency Database
		OSIRIS			nonEnumerated	Float	O61		Reference variant	PopulationFrequency	PopulationFrequency	Frequency of the alteration of the population
SIFT	SIFT	OSIRIS			Enumerated	String	O63		Reference variant	MutationPredictionAlgorithm	MutationPredictionAlgorithm	Algorithm to predict the variation effect over the protein
POLYPHEN2_HDIV	POLYPHEN2_HDIV	OSIRIS			Enumerated	String	O63		Reference variant	MutationPredictionAlgorithm	MutationPredictionAlgorithm	Algorithm to predict the variation effect over the protein
					nonEnumerated	String	O64		Reference variant	MutationPredictionValue	MutationPredictionValue	Prediction of the variation effect over the protein
					nonEnumerated	Float	O65		Reference variant	MutationPredictionScore	MutationPredictionScore	Level of confidence of the prediction of the variation effect over the protein
		FHIR	http://hl7.org/fhir/2016May/extension-observation-geneticsdnaregionname.html	FHIR:extension-observation-geneticsDNARegionName	nonEnumerated	String	O66		Reference variant	DNARegionName	DNARegionName	Human readable name for the region of interest related to the transcript (eg: exon1, intron1, UTR3')
RefSeq	RefSeq	OSIRIS			Enumerated	String	O67		Protein	ProteinReferenceDatabase	ProteinReferenceDatabase	Name of the protein reference database
SwissProt	SwissProt	OSIRIS			Enumerated	String	O67		Protein	ProteinReferenceDatabase	ProteinReferenceDatabase	Name of the protein reference database
UniProt	UniProt	OSIRIS			Enumerated	String	O67		Protein	ProteinReferenceDatabase	ProteinReferenceDatabase	Name of the protein reference database
		FHIR	http://hl7.org/fhir/2016May/extension-observation-geneticsproteinreferencesequenceid.html	FHIR:extension-observation-geneticsProteinReferenceSequenceId	nonEnumerated	String	O68		Protein	ProteinReferenceSequenceId	ProteinReferenceSequenceId	Reference identifier of the protein transcript
RefSeq	RefSeq	OSIRIS			Enumerated	String	O69		Exonic variant	TranscriptReferenceDatabase	TranscriptReferenceDatabase	Name of the sequence reference database
Ensembl	Ensembl	OSIRIS			Enumerated	String	O69		Exonic variant	TranscriptReferenceDatabase	TranscriptReferenceDatabase	Name of the sequence reference database
		FHIR	http://hl7.org/fhir/2016May/extension-observation-geneticstranscriptreferencesequenceid.html	FHIR:extension-observation-geneticsTranscriptReferenceSequenceId	nonEnumerated	String	O70		Exonic variant	TranscriptReferenceSequenceId	TranscriptReferenceSequenceId	Reference identifier of the transcript
		FHIR	http://hl7.org/fhir/2016May/extension-observation-geneticsdnasequencevariation.html	FHIR:extension-observation-geneticsDNASequenceVariation	nonEnumerated	String	O71		Exonic variant	DNASequenceVariation	DNASequenceVariation	HGVS nomenclature on the chosen transcript
		FHIR	http://hl7.org/fhir/2016May/extension-observation-geneticsaminoacidchange.html	FHIR:extension-observation-geneticsAminoAcidChange	nonEnumerated	String	O72		Exonic variant	AminoAcidChange	AminoAcidChange	HGVS nomenclature on the chosen protein transcript
		OSIRIS			nonEnumerated	String	O73		Exonic variant	GenomicSequenceVariation	GenomicSequenceVariation	HGVS nomenclature on the given GenomeReferenceSequenceId.
		OSIRIS			nonEnumerated	String	O74		Exonic variant	RNASequenceVariation	RNASequenceVariation	HGVS nomenclature on the given TranscriptReferenceSequenceId and experimentely observed on RNA.
LA6692-3	Deletion	LOINC	http://r.details.loinc.org/LOINC/48006-1.html	LOINC:48006-1	Enumerated	String	O75		Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
LA6686-5	Duplication	LOINC	http://r.details.loinc.org/LOINC/48006-1.html	LOINC:48006-1	Enumerated	String	O75		Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
LA6694-9	Frameshift	LOINC	http://r.details.loinc.org/LOINC/48006-1.html	LOINC:48006-1	Enumerated	String	O75		Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
LA6695-6	Initiating Methionine	LOINC	http://r.details.loinc.org/LOINC/48006-1.html	LOINC:48006-1	Enumerated	String	O75		Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
LA6687-3	Insertion	LOINC	http://r.details.loinc.org/LOINC/48006-1.html	LOINC:48006-1	Enumerated	String	O75		Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
LA9659-9	Insertion and Deletion	LOINC	http://r.details.loinc.org/LOINC/48006-1.html	LOINC:48006-1	Enumerated	String	O75		Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
LA6698-0	Missense	LOINC	http://r.details.loinc.org/LOINC/48006-1.html	LOINC:48006-1	Enumerated	String	O75		Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
LA6699-8	Nonsense	LOINC	http://r.details.loinc.org/LOINC/48006-1.html	LOINC:48006-1	Enumerated	String	O75		Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
LA6700-4	Silent	LOINC	http://r.details.loinc.org/LOINC/48006-1.html	LOINC:48006-1	Enumerated	String	O75		Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
LA6701-2	Stop Codon Mutation	LOINC	http://r.details.loinc.org/LOINC/48006-1.html	LOINC:48006-1	Enumerated	String	O75		Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
osiris:xxxx	In frame				Enumerated	String	O75	certaines valeurs à vérifier pour concordance entre loinc et OSIRIS	Exonic variant	AminoAcidChangeType	AminoAcidChangeType	HGVS nomenclature of changes at protein-level
		OSIRIS			nonEnumerated	Integer	O76		Variant in specimen	PositionCoverage	PositionCoverage	Total coverage at the variant position observed in the specimen
		OSIRIS			nonEnumerated	Integer	O77		Variant in specimen	VariantCoverage	VariantCoverage	Coverage of the alternative allele at the variant position observed in the specimen
		OSIRIS			nonEnumerated	Boolean	O78		Variant in specimen	StrandBias	StrandBias	Indication of the existence of strand bias at the variant position
LA6683-2	Germline	LOINC	http://s.details.loinc.org/LOINC/48002-0.html	LOINC:LL378-1	Enumerated	String	O79		Variant in specimen	GenomicSourceClass	GenomicSourceClass	Genomic class of the variant (eg: germline, somatic, and prenatal)
LA6684-0	Somatic	LOINC	http://s.details.loinc.org/LOINC/48002-0.html	LOINC:LL378-1	Enumerated	String	O79		Variant in specimen	GenomicSourceClass	GenomicSourceClass	Genomic class of the variant (eg: germline, somatic, and prenatal)
LA10429-1	Prenatal	LOINC	http://s.details.loinc.org/LOINC/48002-0.html	LOINC:LL378-1	Enumerated	String	O79		Variant in specimen	GenomicSourceClass	GenomicSourceClass	Genomic class of the variant (eg: germline, somatic, and prenatal)
LA18197-6	Unknown genomic origin	LOINC	http://s.details.loinc.org/LOINC/48002-0.html	LOINC:LL378-1	Enumerated	String	O79		Variant in specimen	GenomicSourceClass	GenomicSourceClass	Genomic class of the variant (eg: germline, somatic, and prenatal)
LA6703-8	Heteroplasmic	LOINC	http://s.details.loinc.org/LOINC/53034-5.html	LOINC:LL381-5	Enumerated	String	O80		Variant in specimen	AllelicState	AllelicState	Level of allelic occurrence of a DNA Sequence Variation
LA6704-6	Homoplasmic	LOINC	http://s.details.loinc.org/LOINC/53034-5.html	LOINC:LL381-5	Enumerated	String	O80		Variant in specimen	AllelicState	AllelicState	Level of allelic occurrence of a DNA Sequence Variation
LA6705-3	Homozygous	LOINC	http://s.details.loinc.org/LOINC/53034-5.html	LOINC:LL381-5	Enumerated	String	O80		Variant in specimen	AllelicState	AllelicState	Level of allelic occurrence of a DNA Sequence Variation
LA6706-1	Heterozygous	LOINC	http://s.details.loinc.org/LOINC/53034-5.html	LOINC:LL381-5	Enumerated	String	O80		Variant in specimen	AllelicState	AllelicState	Level of allelic occurrence of a DNA Sequence Variation
LA6707-9	Hemizygous	LOINC	http://s.details.loinc.org/LOINC/53034-5.html	LOINC:LL381-5	Enumerated	String	O80		Variant in specimen	AllelicState	AllelicState	Level of allelic occurrence of a DNA Sequence Variation
Pathogenic	Pathogenic	ACMG			Enumerated	String	O81		Variant in specimen	MolecularTumorBoardConclusion	MolecularTumorBoardConclusion	Conclusion of the biologist on the pathogenicity of the variant before the Molecular Tumor Board
Likely pathogenic	Likely pathogenic	ACMG			Enumerated	String	O81		Variant in specimen	MolecularTumorBoardConclusion	MolecularTumorBoardConclusion	Conclusion of the biologist on the pathogenicity of the variant before the Molecular Tumor Board
