ObjectClass	ObjectProperty	DataElementConcept	DefDataElementConcept	ValueMeaning	LabelValueMeaning	Referentiel	url	ConceptualDomain	TypeConceptualDomain	FormatConceptualDomain	IdDataElementConcept	
Variant in specimen	MolecularTumorBoardConclusion	MolecularTumorBoardConclusion	Conclusion of the biologist on the pathogenicity of the variant before the Molecular Tumor Board	Pathogenic	Pathogenic	ACMG			Enumerated	String	O81	
Variant in specimen	MolecularTumorBoardConclusion	MolecularTumorBoardConclusion	Conclusion of the biologist on the pathogenicity of the variant before the Molecular Tumor Board	Likely pathogenic	Likely pathogenic	ACMG			Enumerated	String	O81	
Variant in specimen	MolecularTumorBoardConclusion	MolecularTumorBoardConclusion	Conclusion of the biologist on the pathogenicity of the variant before the Molecular Tumor Board	Benign	Benign	ACMG			Enumerated	String	O81	
Variant in specimen	MolecularTumorBoardConclusion	MolecularTumorBoardConclusion	Conclusion of the biologist on the pathogenicity of the variant before the Molecular Tumor Board	Likely benign	Likely benign	ACMG			Enumerated	String	O81	
Variant in specimen	MolecularTumorBoardConclusion	MolecularTumorBoardConclusion	Conclusion of the biologist on the pathogenicity of the variant before the Molecular Tumor Board	Uncertain significance	Uncertain significance	ACMG			Enumerated	String	O81	
Variant in specimen	ClinicalTumorBoardConclusion	ClinicalTumorBoardConclusion	Conclusion of the clinicians wether the variant is actionable or not during the Molecular Tumor Board	Actionable	Actionable	OSIRIS			Enumerated	String	O82	
Variant in specimen	ClinicalTumorBoardConclusion	ClinicalTumorBoardConclusion	Conclusion of the clinicians wether the variant is actionable or not during the Molecular Tumor Board	Non actionable	Non actionable	OSIRIS			Enumerated	String	O82	
Variant in specimen	ProposedForOrientation	ProposedForOrientation	Is the ClinicalTumorBoardConclusion used to orient the treatment decision ?			OSIRIS			nonEnumerated	Boolean	O83	
Gene expression	ExpressionDataType	ExpressionDataType	Type of the expression value corresponding to the level of data processing	RawExpression	RawExpression	OSIRIS			Enumerated	String	O84	
Gene expression	ExpressionDataType	ExpressionDataType	Type of the expression value corresponding to the level of data processing	NormalizedExpression	NormalizedExpression	OSIRIS			Enumerated	String	O84	
Gene expression	ExpressionValue	ExpressionValue	Numerical value for expression			OSIRIS			nonEnumerated	Float	O85	
Gene expression	ExpressionPvalue	ExpressionPvalue	p-value of the dataset comparison through a statistical method			OSIRIS			nonEnumerated	Float	O86	
Gene expression	ExpressionPvalueAdjustmentMethod	ExpressionPvalueAdjustmentMethod	Method used to adjust the nominal value of the p-value when multiple tests are performed in parallel	no correction	no correction	OSIRIS			Enumerated	String	O87	
Gene expression	ExpressionPvalueAdjustmentMethod	ExpressionPvalueAdjustmentMethod	Method used to adjust the nominal value of the p-value when multiple tests are performed in parallel	bonferroni	bonferroni	OSIRIS			Enumerated	String	O87	
Gene expression	ExpressionPvalueAdjustmentMethod	ExpressionPvalueAdjustmentMethod	Method used to adjust the nominal value of the p-value when multiple tests are performed in parallel	holm	holm	OSIRIS			Enumerated	String	O87	
Gene expression	ExpressionPvalueAdjustmentMethod	ExpressionPvalueAdjustmentMethod	Method used to adjust the nominal value of the p-value when multiple tests are performed in parallel	hochberg	hochberg	OSIRIS			Enumerated	String	O87	
Gene expression	ExpressionPvalueAdjustmentMethod	ExpressionPvalueAdjustmentMethod	Method used to adjust the nominal value of the p-value when multiple tests are performed in parallel	hommel	hommel	OSIRIS			Enumerated	String	O87	
Gene expression	ExpressionPvalueAdjustmentMethod	ExpressionPvalueAdjustmentMethod	Method used to adjust the nominal value of the p-value when multiple tests are performed in parallel	BY	BY	OSIRIS			Enumerated	String	O87	
Gene expression	ExpressionPvalueAdjustmentMethod	ExpressionPvalueAdjustmentMethod	Method used to adjust the nominal value of the p-value when multiple tests are performed in parallel	BH	BH	OSIRIS			Enumerated	String	O87	
Gene expression	ExpressionPvalueAdjustmentMethod	ExpressionPvalueAdjustmentMethod	Method used to adjust the nominal value of the p-value when multiple tests are performed in parallel	fdr	fdr	OSIRIS			Enumerated	String	O87	
												
												
Patient	Id du patient	Id du patient	Identifiant du patient dans le centre transmetteur de l'information						nonEnumerated	String	C1	
Patient	Sexe	Sexe	Sexe du patient	M	Male	FHIR (HL7) v3	http://hl7.org/fhir/v3/AdministrativeGender/index.html	v3 Code System AdministrativeGender	Enumerated	String	C2	
Patient	Sexe	Sexe	Sexe du patient	F	Female	FHIR (HL7) v3	http://hl7.org/fhir/v3/AdministrativeGender/index.html	v3 Code System AdministrativeGender	Enumerated	String	C2	
Patient	Sexe	Sexe	Sexe du patient	UN	Undifferentiated	FHIR (HL7) v3	http://hl7.org/fhir/v3/AdministrativeGender/index.html	v3 Code System AdministrativeGender	Enumerated	String	C2	
Patient	Date de naissance	Date de naissance	Date de naissance du patient							Date	C3	
Patient	Date de décès	Date de décès	Date de décès du patient						nonEnumerated	Date	C4	
Patient	Id du Centre	Id du Centre	Identifiant du centre transmetteur de l'information						nonEnumerated	String	C5	
Patient	Cause du décès	Cause du décès	Descriptif de la cause de décès du patient	UMLS:C0277589	Death of unknown cause	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C0277589;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	UMLS:C0007465	Enumerated	String	C6	
Patient	Cause du décès	Cause du décès	Descriptif de la cause de décès du patient	UMLS:C1707251	Other cancer	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C1707251;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	UMLS:C0007465	Enumerated	String	C6	
Patient	Cause du décès	Cause du décès	Descriptif de la cause de décès du patient	UMLS:C3262234	Other cause	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C3262234;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	UMLS:C0007465	Enumerated	String	C6	
Patient	Cause du décès	Cause du décès	Descriptif de la cause de décès du patient	UMLS:C0679861	Complications of treatment	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C0679861;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	UMLS:C0007465	Enumerated	String	C6	
Patient	Cause du décès	Cause du décès	Descriptif de la cause de décès du patient	UMLS:C0027651	Neoplasm	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C0027651;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	UMLS:C0007465	Enumerated	String	C6	
Patient	Date de dernières nouvelles	Date de dernières nouvelles	Date de dernières nouvelles du patient (= date de dernière venue du patient si aucune autre information disponible)						nonEnumerated	Date	C7	
Patient	Etat aux dernières nouvelles	Etat aux dernières nouvelles	Indicateur de l'état du patient aux dernières nouvelles (Vivant ou décédé)	UMLS:C2584946	Alive (finding)	UMLS			Enumerated	String	C8	
Patient	Etat aux dernières nouvelles	Etat aux dernières nouvelles	Indicateur de l'état du patient aux dernières nouvelles (Vivant ou décédé)	ULMS:C1546956	Patient Outcome - Died	UMLS			Enumerated	String	C8	
Pathologie associée	Code	Code	Code international de la pathologie associée (hors autre cancer).			ICD-10	http://apps.who.int/classifications/icd10/browse/2016/en	ICD-10	Enumerated	String	C9	
Pathologie associée	Date	Date	Date du diagnostic de la pathologie associée						nonEnumerated	Date	C10	
Pathologie associée	Date de fin	Date de fin	Date de fin de la pathologie associée (si elle existe et est connue).						nonEnumerated	Date	C11	
Antécédent carcinologique personnel ou familial	Date de diagnostic	Date de diagnostic	Date de diagnostic de l'antécédent carcinologique						nonEnumerated	Date	C12	
Antécédent carcinologique personnel ou familial	Code Localisation	Code Localisation	Code international de la localisation de l'antécédent carcinologique			CIM-O-3 Topo		CIM-O-3 Topo	Enumerated	String	C13	
Antécédent carcinologique personnel ou familial	Code Morphologie / Lésion	Code Morphologie / Lésion	Code international de la lésion / type histologique / morphologie de l'antécédent carcinologique			CIM-O-3 Morpho		CIM-O-3 Morpho	Enumerated	String	C14	
Evénement tumoral	Type	Type	Le champ "Type" permet de décrire à la fois l'événement "Cancer" en tant que maladie globale que les différents événements constituant cette maladie (Tumeur initiale, Récidive locale, Récidive métastatique).	UMLS:C2939419	Secondary Neoplasm	UMLS			Enumerated	String	C15	
Evénement tumoral	Type	Type	Le champ "Type" permet de décrire à la fois l'événement "Cancer" en tant que maladie globale que les différents événements constituant cette maladie (Tumeur initiale, Récidive locale, Récidive métastatique).	UMLS:C0521158	Recurrent tumor	UMLS			Enumerated	String	C15	
Evénement tumoral	Type	Type	Le champ "Type" permet de décrire à la fois l'événement "Cancer" en tant que maladie globale que les différents événements constituant cette maladie (Tumeur initiale, Récidive locale, Récidive métastatique).	UMLS:C0677930	primary tumor	UMLS			Enumerated	String	C15	
Evénement tumoral	Date de début de l'évènement	Date de début de l'évènement	Date de début de l'événement tumoral ou de la maladie						nonEnumerated	Date	C16	
Evénement tumoral		Echelle d'autonomie / Performance status	Définition de l'échelle d'autonomie (échelle de Karnofsky ou OMS)	0	activité normale sans restriction	OMS		OMS	Enumerated	String	C17	
Evénement tumoral		Echelle d'autonomie / Performance status	Définition de l'échelle d'autonomie (échelle de Karnofsky ou OMS)	1	restreint pour des activités physiques importantes, mais patient ambulant et capable de fournir un travail léger	OMS			Enumerated	String	C17	
Evénement tumoral		Echelle d'autonomie / Performance status	Définition de l'échelle d'autonomie (échelle de Karnofsky ou OMS)	2	ambulant et capable de se prendre en charge, mais incapable de fournir un travail et alité pendant moins de 50 % de son temps	OMS			Enumerated	String	C17	
Evénement tumoral		Echelle d'autonomie / Performance status	Définition de l'échelle d'autonomie (échelle de Karnofsky ou OMS)	3	capacité de prise en charge propre beaucoup plus limitée. Passe plus de 50 % de son temps au lit ou dans une chaise.	OMS			Enumerated	String	C17	
Evénement tumoral		Echelle d'autonomie / Performance status	Définition de l'échelle d'autonomie (échelle de Karnofsky ou OMS)	4	complètement grabataire. Incapable de se prendre en charge. Le patient reste totalement confiné au lit ou dans une chaise.	OMS			Enumerated	String	C17	
Evénement tumoral		Outil de dépistage G8	outil d'évaluation de l'état général des patients âgés ayant un cancer						nonEnumerated	Integer	C18	
Evénement tumoral		T	Taille de la tumeur, propagation sur le site de la tumeur primitive						Enumerated	String	C19	
Evénement tumoral		N	Propagation au niveau ganglionnaire						Enumerated	String	C20	
Evénement tumoral		M	Propagation à distance, présence de métastases						Enumerated	String	C21	
Evénement tumoral		Version du TNM	Version de la classification TNM						Enumerated	String	C22	
Evénement tumoral		Type de TNM	Type de TNM (clinique, Pathologique, etc…)	c	Clinique				Enumerated	String	C23	
Evénement tumoral		Type de TNM	Type de TNM (clinique, Pathologique, etc…)	p	Pathologique				Enumerated	String	C23	
Evénement tumoral		Type de TNM	Type de TNM (clinique, Pathologique, etc…)	y	Après traitement neoadjuvant				Enumerated	String	C23	
Evénement tumoral		Type de TNM	Type de TNM (clinique, Pathologique, etc…)	u	Radiologique				Enumerated	String	C23	
Evénement tumoral		Date du diagnostic	Date du diagnostic de l'événement tumoral						nonEnumerated	Date	C24	
Evénement tumoral		Code Localisation	Code international de la localisation de l'événement tumoral			CIM-O-3 Topo		CIM-O-3 Topo	Enumerated	String	C25	
Evénement tumoral		Code Morphologie / Lésion	Code international de la lésion / type histologique / morphologie de l'événement tumoral			CIM-O-3 Morpho		CIM-O-3 Morpho	Enumerated	String	C26	
Evénement tumoral		Latéralité	Latéralité de la localisation (si elle existe)	UMLS:C0238767	Bilateral	UMLS			Enumerated	String	C27	
Evénement tumoral		Latéralité	Latéralité de la localisation (si elle existe)	UMLS:C0205091	Left	UMLS			Enumerated	String	C27	
Evénement tumoral		Latéralité	Latéralité de la localisation (si elle existe)	UMLS:C2939193	Median (qualifier value)	UMLS			Enumerated	String	C27	
Evénement tumoral		Latéralité	Latéralité de la localisation (si elle existe)	UMLS:C1272460	Not Applicable	UMLS			Enumerated	String	C27	
Evénement tumoral		Latéralité	Latéralité de la localisation (si elle existe)	UMLS:C0205090	Right	UMLS			Enumerated	String	C27	
Evénement tumoral		Latéralité	Latéralité de la localisation (si elle existe)	UMLS:C0439673	Unknown	UMLS			Enumerated	String	C27	
Traitement		Acte	Code CCAM de l'acte			CCAM		CCAM	Enumerated	String	C28	
Traitement		Type	Type de traitement	UMLS:C3665472	Chemotherapy	UMLS			Enumerated	String	C29	
Traitement		Type	Type de traitement	UMLS:C0279025	Hormone Therapy	UMLS			Enumerated	String	C29	
Traitement		Type	Type de traitement	UMLS:C1522449	Therapeutic radiology procedure	UMLS			Enumerated	String	C29	
Traitement		Type	Type de traitement	UMLS:C0728940	Excision	UMLS			Enumerated	String	C29	
Traitement		Date de début	Date de début du traitement						nonEnumerated	Date	C30	
Traitement		Date de fin	Date de fin du traitement						nonEnumerated	Date	C31	
Traitement		Clinical trial (Yes | No)	Traitement effectué dans un contexte d'étude clinique						Enumerated	String	C32	
Traitement (Chirurgie)		Qualité de la résection (anapath)	Qualité de la résection (anapath)	R0	Marges macroscopiquement et microscopiquement saines				Enumerated	String	C33	
Traitement (Chirurgie)		Qualité de la résection (anapath)	Qualité de la résection (anapath)	R1	Marges macroscopiquement saines mais microscopiquement envahies				Enumerated	String	C33	
Traitement (Chirurgie)		Qualité de la résection (anapath)	Qualité de la résection (anapath)	R2	Marges macroscopiquement et microscopiquement envahies				Enumerated	String	C33	
Evénement indésirable		Date	Date de l'évenement indésirable						nonEnumerated	Date	C34	
Evénement indésirable		Date de fin	Date de fin de l'évenement indésirable						nonEnumerated	Date	C35	
Molécule Administrée		Code molécule	Code de la classification thérapeutique			ATC 5e niveau		ATC 5e niveau	Enumerated	String	C36	
Echantillon biologique		Id du prélèvement	Identifiant du prélèvement (père) dans le centre			MIABIS-40		MIABIS-40	nonEnumerated	String	C37	
Echantillon biologique		Id de l'échantillon	Identifiant de l'échantillon dérivé (ADN, ARN, protéine,...)			MIABIS-39		MIABIS-39	nonEnumerated	String	C38	
Echantillon biologique		Date du prélèvement	Date du prélèvement			MIABIS-43		MIABIS-43	nonEnumerated	Date	C39	
Echantillon biologique		Code Localisation	Code de la localisation tumorale			CIM-O-3 Topo		CIM-O-3 Topo	Enumerated	String	C40	
Echantillon biologique		Nature de l'échantillon	La nature du contenu			MIABIS-41/MIABIS-2.0-14			Enumerated	String	C41	
Echantillon biologique		Type de dérivé (si dérivé)	Le type de dérivé			MIABIS-41/MIABIS-2.0-14			Enumerated	String	C42	
Echantillon biologique		Mode de conservation	Le mode de conservation			MIABIS-43/MIABIS-2.0-15			Enumerated	String	C43	
Echantillon biologique		% de cellules tumorales	Le pourcentage de cellules tumorales quantifié dans l'échantillon						nonEnumerated	Integer	C44	
